,laptop_ID,Company,Product,TypeName,Inches,Ram,Weight,Price,Operating_System,Touchscreen,Gpu_Brand,Memory_Type,Primary_Storage,Cpu_Brand,Cpu_Speed,Resolution_Width,Resolution_Height,Price_range
0,1,Apple,MacBook Pro,Ultrabook,13.3,8,1.37,1340,MacOs,No,Intel,SSD,128GB,Intel,2.3,2560,1600,1k-2k
1,2,Apple,Macbook Air,Ultrabook,13.3,8,1.34,899,MacOs,No,Intel,Flash Storage,128GB,Intel,1.8,1440,900,0-1k
2,3,HP,250 G6,Notebook,15.6,8,1.86,575,N/A,No,Intel,SSD,256GB,Intel,2.5,1920,1080,0-1k
3,4,Apple,MacBook Pro,Ultrabook,15.4,16,1.83,2537,MacOs,No,AMD,SSD,512GB,Intel,2.7,2880,1800,2k-3k
4,5,Apple,MacBook Pro,Ultrabook,13.3,8,1.37,1804,MacOs,No,Intel,SSD,256GB,Intel,3.1,2560,1600,1k-2k
5,6,Acer,Aspire 3,Notebook,15.6,4,2.1,400,Windows,No,AMD,HDD,500GB,AMD,3.0,1366,768,0-1k
6,7,Apple,MacBook Pro,Ultrabook,15.4,16,2.04,2140,MacOs,No,Intel,Flash Storage,256GB,Intel,2.2,2880,1800,2k-3k
7,8,Apple,Macbook Air,Ultrabook,13.3,8,1.34,1159,MacOs,No,Intel,Flash Storage,256GB,Intel,1.8,1440,900,1k-2k
8,9,Asus,ZenBook UX430UN,Ultrabook,14.0,16,1.3,1495,Windows,No,Nvidia,SSD,512GB,Intel,1.8,1920,1080,1k-2k
9,10,Acer,Swift 3,Ultrabook,14.0,8,1.6,770,Windows,No,Intel,SSD,256GB,Intel,1.6,1920,1080,0-1k
10,11,HP,250 G6,Notebook,15.6,4,1.86,394,N/A,No,Intel,HDD,500GB,Intel,2.5,1366,768,0-1k
11,12,HP,250 G6,Notebook,15.6,4,1.86,345,N/A,No,Intel,HDD,500GB,Intel,2.0,1920,1080,0-1k
12,13,Apple,MacBook Pro,Ultrabook,15.4,16,1.83,2440,MacOs,No,AMD,SSD,256GB,Intel,2.8,2880,1800,2k-3k
13,14,Dell,Inspiron 3567,Notebook,15.6,4,2.2,499,Windows,No,AMD,SSD,256GB,Intel,2.0,1920,1080,0-1k
14,15,Apple,"MacBook 12""""",Ultrabook,12.0,8,0.92,1262,MacOs,No,Intel,SSD,256GB,Intel,1.2,2304,1440,1k-2k
15,16,Apple,MacBook Pro,Ultrabook,13.3,8,1.37,1519,MacOs,No,Intel,SSD,256GB,Intel,2.3,2560,1600,1k-2k
16,17,Dell,Inspiron 3567,Notebook,15.6,8,2.2,745,Windows,No,AMD,SSD,256GB,Intel,2.7,1920,1080,0-1k
17,18,Apple,MacBook Pro,Ultrabook,15.4,16,1.83,2858,MacOs,No,AMD,SSD,512GB,Intel,2.9,2880,1800,2k-3k
18,19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,2.2,499,N/A,No,Nvidia,HDD,1TB,Intel,2.4,1920,1080,0-1k
19,20,Dell,XPS 13,Ultrabook,13.3,8,1.22,979,Windows,Yes,Intel,SSD,128GB,Intel,1.6,1920,1080,0-1k
20,21,Asus,Vivobook E200HA,Netbook,11.6,2,0.98,192,Windows,No,Intel,Flash Storage,32GB,Intel,1.44,1366,768,0-1k
21,22,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,2.5,999,Windows,No,Nvidia,SSD,128GB,Intel,2.5,1920,1080,0-1k
22,23,HP,255 G6,Notebook,15.6,4,1.86,258,N/A,No,AMD,HDD,500GB,AMD,1.5,1366,768,0-1k
23,24,Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,1.62,819,Windows,Yes,Intel,SSD,256GB,Intel,1.6,1920,1080,0-1k
24,25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8,1.91,659,Windows,No,Intel,SSD,256GB,Intel,1.8,1920,1080,0-1k
25,26,Dell,Inspiron 3567,Notebook,15.6,4,2.3,419,Windows,No,Intel,HDD,1TB,Intel,2.0,1366,768,0-1k
26,27,Apple,MacBook Air,Ultrabook,13.3,8,1.35,1099,MacOs,No,Intel,Flash Storage,128GB,Intel,1.6,1440,900,1k-2k
27,28,Dell,Inspiron 5570,Notebook,15.6,8,2.2,800,Windows,No,AMD,SSD,256GB,Intel,1.6,1920,1080,0-1k
28,29,Dell,Latitude 5590,Ultrabook,15.6,8,1.88,1298,Windows,No,Intel,SSD,256GB,Intel,1.9,1920,1080,1k-2k
29,30,HP,ProBook 470,Notebook,17.3,8,2.5,896,Windows,No,Nvidia,HDD,1TB,Intel,1.6,1920,1080,0-1k
30,31,Chuwi,"LapBook 15.6""""",Notebook,15.6,4,1.89,245,Windows,No,Intel,Flash Storage,64GB,Intel,1.44,1920,1080,0-1k
31,32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,2,1.65,199,Windows,No,AMD,Flash Storage,32GB,AMD,1.5,1366,768,0-1k
32,33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4,2.71,439,Windows,No,AMD,HDD,500GB,AMD,2.5,1920,1080,0-1k
33,34,Dell,XPS 13,Ultrabook,13.3,16,1.2,1869,Windows,Yes,Intel,SSD,512GB,Intel,1.8,3200,1800,1k-2k
34,35,Apple,MacBook Air,Ultrabook,13.3,8,1.35,998,MacOs,No,Intel,Flash Storage,256GB,Intel,1.6,1440,900,0-1k
35,36,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,4,1.44,249,Windows,No,Intel,Flash Storage,64GB,Intel,1.1,1366,768,0-1k
36,37,Acer,Aspire 3,Notebook,15.6,4,2.1,367,Linux,No,Intel,HDD,1TB,Intel,2.7,1366,768,0-1k
37,38,Dell,Inspiron 5770,Notebook,17.3,8,2.8,979,Windows,No,AMD,SSD,128GB,Intel,1.6,1920,1080,0-1k
38,39,HP,250 G6,Notebook,15.6,4,1.86,489,Windows,No,Intel,HDD,1TB,Intel,2.5,1366,768,0-1k
39,40,HP,ProBook 450,Notebook,15.6,8,2.1,879,Windows,No,Nvidia,SSD,256GB,Intel,1.6,1920,1080,0-1k
40,41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,4,2,389,Linux,No,Intel,HDD,1TB,Intel,2.0,1920,1080,0-1k
41,42,Dell,Inspiron 7577,Gaming,15.6,16,2.65,1499,Windows,No,Nvidia,SSD,256GB,Intel,2.8,1920,1080,1k-2k
42,43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,8,2.3,523,Linux,No,Nvidia,HDD,1TB,Intel,2.5,1366,768,0-1k
43,44,Acer,Aspire A515-51G,Notebook,15.6,4,2.2,682,Windows,No,Intel,SSD,256GB,Intel,1.6,1920,1080,0-1k
44,45,Dell,Inspiron 7773,2 in 1 Convertible,17.3,12,2.77,999,Windows,Yes,Nvidia,HDD,1TB,Intel,1.6,1920,1080,0-1k
45,46,Apple,MacBook Pro,Ultrabook,13.3,8,1.37,1419,MacOs,No,Intel,SSD,256GB,Intel,2.0,2560,1600,1k-2k
46,47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,2.2,369,N/A,No,Intel,SSD,128GB,Intel,2.0,1366,768,0-1k
47,48,Asus,Rog Strix,Gaming,17.3,8,3.2,1299,Windows,No,AMD,SSD,256GB,AMD,3.0,1920,1080,1k-2k
48,49,Dell,Inspiron 3567,Notebook,15.6,4,2.3,639,Windows,No,AMD,SSD,256GB,Intel,2.5,1920,1080,0-1k
49,50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,4,2.8,466,Windows,No,Nvidia,HDD,1TB,Intel,1.1,1366,768,0-1k
50,51,Lenovo,Yoga Book,2 in 1 Convertible,10.1,4,0.69,319,Other,Yes,Intel,Flash Storage,64GB,Intel,1.44,1920,1200,0-1k
51,52,Acer,Aspire A515-51G,Notebook,15.6,8,2.2,841,Windows,No,Nvidia,SSD,256GB,Intel,1.8,1920,1080,0-1k
52,53,HP,255 G6,Notebook,15.6,4,1.86,398,Windows,No,AMD,SSD,256GB,AMD,2.5,1920,1080,0-1k
53,54,HP,ProBook 430,Notebook,13.3,8,1.49,1103,Windows,No,Intel,SSD,512GB,Intel,1.8,1920,1080,1k-2k
54,55,Acer,Aspire 3,Notebook,15.6,4,2.4,384,Windows,No,Intel,HDD,1TB,Intel,2.4,1366,768,0-1k
55,56,Dell,Inspiron 3576,Notebook,15.6,8,2.13,768,Windows,No,AMD,SSD,256GB,Intel,1.8,1920,1080,0-1k
56,57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,4,1.91,439,Windows,No,Intel,SSD,128GB,Intel,2.0,1920,1080,0-1k
57,58,Asus,VivoBook Max,Notebook,15.6,4,2,586,Windows,No,Intel,SSD,256GB,Intel,2.5,1366,768,0-1k
58,59,MSI,GS73VR 7RG,Gaming,17.3,16,2.43,2449,Windows,No,Nvidia,SSD,256GB,Intel,2.8,1920,1080,2k-3k
59,60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,4,2,415,Linux,No,Intel,SSD,256GB,Intel,2.0,1920,1080,0-1k
60,61,Dell,Inspiron 5770,Notebook,17.3,16,2.8,1299,Windows,No,AMD,SSD,256GB,Intel,1.8,1920,1080,1k-2k
61,62,Dell,Vostro 5471,Ultrabook,14.0,8,1.7,879,Windows,No,Intel,SSD,256GB,Intel,1.6,1920,1080,0-1k
62,63,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,8,1.7,599,N/A,No,Intel,SSD,256GB,Intel,2.7,1920,1080,0-1k
63,64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,8,1.4,941,Windows,No,Intel,SSD,256GB,Intel,1.6,1920,1080,0-1k
64,66,HP,250 G6,Notebook,15.6,8,1.86,690,Windows,No,Intel,SSD,256GB,Intel,2.5,1920,1080,0-1k
65,67,Asus,ZenBook Pro,Ultrabook,15.6,16,1.8,1983,Windows,No,Nvidia,SSD,512GB,Intel,2.8,1920,1080,1k-2k
66,68,HP,250 G6,Notebook,15.6,4,1.86,439,Windows,No,AMD,HDD,500GB,Intel,2.0,1366,768,0-1k
67,69,HP,Stream 14-AX040wm,Notebook,14.0,4,1.44,229,Windows,No,Intel,SSD,32GB,Intel,1.6,1366,768,0-1k
68,70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,4,1.9,549,Windows,No,Intel,HDD,1TB,Intel,2.5,1920,1080,0-1k
69,71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,12,3,949,Linux,No,Nvidia,HDD,1TB,Intel,2.8,1920,1080,0-1k
70,72,Microsoft,Surface Laptop,Ultrabook,13.5,4,1.252,1089,Windows,Yes,Intel,SSD,128GB,Intel,2.5,2256,1504,1k-2k
71,73,Dell,Inspiron 5370,Ultrabook,13.3,8,1.4,955,Windows,No,AMD,SSD,256GB,Intel,1.8,1920,1080,0-1k
72,74,Dell,Inspiron 5570,Notebook,15.6,8,2.2,870,Windows,No,AMD,SSD,256GB,Intel,1.8,1920,1080,0-1k
73,75,MSI,GL72M 7RDX,Gaming,17.3,8,2.7,1095,Windows,No,Nvidia,SSD,128GB,Intel,2.5,1920,1080,1k-2k
74,76,Acer,Aspire E5-475,Notebook,14.0,8,2.1,389,Windows,No,Intel,HDD,1TB,Intel,2.0,1366,768,0-1k
75,77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,8,2.2,949,Windows,No,Nvidia,HDD,1TB,Intel,2.8,1920,1080,0-1k
76,78,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,2.2,519,N/A,No,Intel,HDD,2TB,Intel,2.5,1920,1080,0-1k
77,79,Dell,Inspiron 5570,Notebook,15.6,8,2.02,855,Windows,No,Intel,SSD,128GB,Intel,1.8,1920,1080,0-1k
78,80,Acer,Aspire A515-51G-32MX,Notebook,15.6,4,2.2,530,Windows,No,Nvidia,HDD,1TB,Intel,2.7,1920,1080,0-1k
79,81,HP,ProBook 470,Notebook,17.3,8,2.5,977,Windows,No,Nvidia,SSD,128GB,Intel,1.6,1920,1080,0-1k
80,82,Dell,Latitude 5590,Ultrabook,15.6,8,1.88,1096,Windows,No,Intel,SSD,256GB,Intel,1.6,1920,1080,1k-2k
81,83,Apple,"MacBook 12""""",Ultrabook,12.0,8,0.92,1510,MacOs,No,Intel,SSD,512GB,Intel,1.3,2304,1440,1k-2k
82,84,HP,ProBook 440,Notebook,14.0,8,1.63,860,Windows,No,Intel,SSD,256GB,Intel,1.6,1920,1080,0-1k
83,85,Lenovo,IdeaPad 320-15AST,Notebook,15.6,4,2.2,399,Windows,No,AMD,SSD,128GB,AMD,2.5,1920,1080,0-1k
84,86,Acer,Aspire 3,Notebook,15.6,4,2.1,395,Windows,No,AMD,HDD,1TB,AMD,3.0,1366,768,0-1k
85,87,Dell,Inspiron 7577,Gaming,15.6,16,2.65,1349,Windows,No,Nvidia,SSD,128GB,Intel,2.8,1920,1080,1k-2k
86,88,HP,Pavilion 15-CK000nv,Ultrabook,15.6,8,1.83,699,Windows,No,Nvidia,SSD,256GB,Intel,1.8,1920,1080,0-1k
87,89,HP,250 G6,Notebook,15.6,8,1.96,599,Windows,No,Intel,SSD,256GB,Intel,2.5,1920,1080,0-1k
88,90,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,16,2.2,1449,Windows,No,Nvidia,SSD,128GB,Intel,2.8,1920,1080,1k-2k
89,91,Dell,XPS 13,Ultrabook,13.3,8,1.21,1649,Windows,No,Intel,SSD,256GB,Intel,1.8,1920,1080,1k-2k
90,92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,8,2.45,699,Windows,No,AMD,HDD,1TB,AMD,3.0,1920,1080,0-1k
91,93,Acer,Aspire 5,Notebook,15.6,8,2.2,689,Windows,No,Nvidia,HDD,1TB,Intel,1.8,1920,1080,0-1k
92,94,HP,Probook 430,Notebook,13.3,16,1.49,1197,Windows,No,Intel,SSD,512GB,Intel,1.8,1920,1080,1k-2k
93,95,Dell,Inspiron 7577,Gaming,15.6,8,2.65,1195,Windows,No,Nvidia,SSD,256GB,Intel,2.5,1920,1080,1k-2k
94,96,Asus,Zenbook UX430UA,Ultrabook,14.0,8,1.25,1049,Windows,No,Intel,SSD,256GB,Intel,2.7,1920,1080,1k-2k
95,97,Acer,Spin 5,2 in 1 Convertible,13.3,8,1.5,847,Windows,Yes,Intel,SSD,256GB,Intel,1.6,1920,1080,0-1k
96,98,Dell,Inspiron 3567,Notebook,15.6,8,2.2,600,Linux,No,AMD,HDD,1TB,Intel,2.7,1920,1080,0-1k
97,99,Dell,Inspiron 3567,Notebook,15.6,4,2.2,485,Linux,No,AMD,SSD,256GB,Intel,2.0,1920,1080,0-1k
98,100,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,6,2,577,Windows,No,Nvidia,SSD,256GB,Intel,2.4,1920,1080,0-1k
99,102,HP,Omen 15-ce007nv,Gaming,15.6,12,2.62,1249,Windows,No,Nvidia,SSD,128GB,Intel,2.8,1920,1080,1k-2k
100,103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,8,1.91,719,Windows,No,AMD,SSD,256GB,Intel,2.7,1920,1080,0-1k
101,104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,4,2.1,349,Windows,No,AMD,HDD,500GB,AMD,1.5,1920,1080,0-1k
102,105,Dell,Inspiron 3576,Notebook,15.6,8,2.2,647,Linux,No,AMD,HDD,1TB,Intel,1.6,1920,1080,0-1k
103,106,HP,Envy 13-ad009n,Ultrabook,13.3,8,1.38,1119,Windows,No,Nvidia,SSD,256GB,Intel,2.7,1920,1080,1k-2k
104,107,Microsoft,Surface Laptop,Ultrabook,13.5,8,1.252,1340,Windows,Yes,Intel,SSD,256GB,Intel,2.5,2256,1504,1k-2k
105,108,HP,Pavilion 14-BK001nv,Notebook,14.0,6,1.58,659,Windows,No,Nvidia,SSD,256GB,Intel,2.5,1920,1080,0-1k
106,109,Lenovo,Ideapad 310-15ISK,Notebook,15.6,4,1.85,415,Windows,No,Intel,HDD,1TB,Intel,2.0,1920,1080,0-1k
107,110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,8,1.3,1193,Windows,No,Nvidia,SSD,256GB,Intel,2.7,1920,1080,1k-2k
108,111,MSI,GP62M 7REX,Gaming,15.6,16,2.2,1299,Windows,No,Nvidia,SSD,256GB,Intel,2.8,1920,1080,1k-2k
109,112,Lenovo,Thinkpad T470,Notebook,14.0,8,1.58,1480,Windows,No,Intel,SSD,256GB,Intel,2.7,1920,1080,1k-2k
110,113,Asus,VivoBook S15,Ultrabook,15.6,16,1.5,1262,Windows,No,Nvidia,SSD,256GB,Intel,1.8,1920,1080,1k-2k
111,114,Dell,XPS 13,Ultrabook,13.3,8,1.23,1379,Windows,Yes,Intel,SSD,256GB,Intel,2.4,3200,1800,1k-2k
112,115,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,8,1.37,1399,Windows,Yes,Intel,SSD,256GB,Intel,2.5,1920,1080,1k-2k
113,116,HP,Probook 440,Notebook,14.0,4,1.63,722,Windows,No,Intel,HDD,500GB,Intel,1.6,1366,768,0-1k
114,117,Dell,XPS 13,Ultrabook,13.3,8,1.21,1629,Windows,No,Intel,SSD,256GB,Intel,1.6,1920,1080,1k-2k
115,118,HP,Spectre x360,2 in 1 Convertible,13.3,8,1.26,1399,Windows,Yes,Intel,SSD,256GB,Intel,1.6,1920,1080,1k-2k
116,119,HP,Probook 440,Notebook,14.0,8,1.63,1084,Windows,No,Intel,SSD,512GB,Intel,1.8,1920,1080,1k-2k
117,120,Dell,Inspiron 7570,Notebook,15.6,8,2.16,1130,Windows,No,Nvidia,SSD,256GB,Intel,1.8,1920,1080,1k-2k
118,121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,4,2,564,Windows,No,Nvidia,HDD,1TB,Intel,2.0,1920,1080,0-1k
119,122,Asus,VivoBook S15,Notebook,15.6,8,1.7,1118,Windows,No,Nvidia,SSD,256GB,Intel,1.8,1920,1080,1k-2k
120,123,Acer,Spin 3,Notebook,15.6,6,2.1,479,Windows,Yes,Intel,HDD,1TB,Intel,2.4,1920,1080,0-1k
121,124,MSI,GS63VR 7RG,Gaming,15.6,16,1.8,2242,Windows,No,Nvidia,SSD,256GB,Intel,2.8,1920,1080,2k-3k
122,125,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,2.2,629,N/A,No,Nvidia,SSD,256GB,Intel,2.5,1920,1080,0-1k
123,126,HP,Probook 470,Notebook,17.3,16,2.5,1271,Windows,No,Nvidia,SSD,512GB,Intel,1.8,1920,1080,1k-2k
124,127,Acer,Aspire 3,Notebook,15.6,4,2.1,451,Windows,No,AMD,SSD,256GB,AMD,3.0,1366,768,0-1k
125,128,HP,250 G6,Notebook,15.6,4,1.86,259,N/A,No,Intel,HDD,500GB,Intel,1.6,1366,768,0-1k
126,129,HP,Probook 440,Notebook,14.0,8,1.63,812,Windows,No,Intel,HDD,1TB,Intel,1.6,1920,1080,0-1k
127,130,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,4,1.65,278,Windows,No,AMD,SSD,64GB,AMD,1.5,1366,768,0-1k
128,131,Dell,Inspiron 5770,Notebook,17.3,16,2.8,1396,Windows,No,AMD,SSD,256GB,Intel,1.8,1920,1080,1k-2k
129,132,HP,ProBook 470,Notebook,17.3,8,2.5,928,Windows,No,Intel,SSD,256GB,Intel,1.6,1920,1080,0-1k
130,133,Dell,Inspiron 5567,Notebook,15.6,8,2.36,639,Windows,No,AMD,HDD,1TB,Intel,2.5,1366,768,0-1k
131,134,Dell,Inspiron 3567,Notebook,15.6,4,2.2,449,Windows,No,AMD,HDD,1TB,Intel,2.0,1920,1080,0-1k
132,135,Acer,Swift 3,Ultrabook,14.0,8,1.6,884,Windows,No,Intel,SSD,256GB,Intel,1.8,1920,1080,0-1k
133,136,Acer,Aspire A515-51G-37JS,Notebook,15.6,4,2.2,572,Windows,No,Nvidia,SSD,256GB,Intel,2.7,1920,1080,0-1k
134,137,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,8,2.05,598,Windows,No,Intel,HDD,1TB,Intel,2.7,1366,768,0-1k
135,138,HP,Probook 440,Notebook,14.0,8,1.63,988,Windows,No,Intel,SSD,256GB,Intel,1.8,1920,1080,0-1k
136,139,Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,4,1.9,252,N/A,No,Intel,HDD,1TB,Intel,1.1,1366,768,0-1k
137,140,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,8,3,938,Windows,No,Nvidia,SSD,128GB,Intel,2.5,1920,1080,0-1k
138,141,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,4,2.2,499,N/A,No,Nvidia,HDD,1TB,Intel,2.5,1920,1080,0-1k
139,142,HP,Envy 13-AD007nv,Notebook,13.3,4,1.32,699,Windows,No,Intel,SSD,256GB,Intel,2.5,1920,1080,0-1k
140,143,Acer,Aspire 5,Notebook,17.3,4,3,655,Windows,No,Nvidia,HDD,1TB,Intel,2.7,1920,1080,0-1k
141,144,Lenovo,ThinkPad E480,Notebook,14.0,8,1.75,1116,Windows,No,AMD,SSD,256GB,Intel,1.6,1920,1080,1k-2k
142,145,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,2.4,869,N/A,No,Nvidia,SSD,256GB,Intel,2.8,1920,1080,0-1k
143,146,Toshiba,Satellite Pro,Notebook,15.6,4,2.1,602,Windows,No,Intel,HDD,500GB,Intel,2.3,1366,768,0-1k
144,147,HP,255 G6,Notebook,15.6,4,1.86,369,Windows,No,AMD,SSD,256GB,AMD,2.5,1366,768,0-1k
145,148,Asus,ZenBook UX430UA,Ultrabook,14.0,8,1.25,1099,Windows,No,Intel,SSD,256GB,Intel,1.8,1920,1080,1k-2k
146,149,HP,EliteBook Folio,Ultrabook,12.5,8,0.97,2014,Windows,Yes,Intel,SSD,512GB,Intel,1.2,3840,2160,2k-3k
147,150,Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,15.6,4,2,344,Windows,No,Intel,HDD,1TB,Intel,1.1,1920,1080,0-1k
148,151,MSI,GE72MVR 7RG,Gaming,17.3,16,2.9,2029,Windows,No,Nvidia,SSD,256GB,Intel,2.8,1920,1080,2k-3k
149,152,Acer,Aspire A315-51,Notebook,15.6,4,2.1,447,Windows,No,Intel,HDD,1TB,Intel,2.0,1366,768,0-1k
150,153,Dell,Inspiron 5577,Gaming,15.6,16,2.56,1249,Windows,No,Nvidia,SSD,512GB,Intel,2.8,1920,1080,1k-2k
151,154,Dell,Inspiron 7567,Gaming,15.6,8,2.62,899,Windows,No,Nvidia,Hybrid,1.0TB,Intel,2.8,1920,1080,0-1k
152,155,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,4,1.9,498,Windows,No,Intel,SSD,128GB,Intel,2.5,1366,768,0-1k
153,156,MSI,GE73VR 7RE,Gaming,17.3,16,2.8,1890,Windows,No,Nvidia,SSD,256GB,Intel,2.8,1920,1080,1k-2k
154,157,HP,EliteBook 840,Ultrabook,14.0,4,1.48,1082,Windows,No,Intel,SSD,256GB,Intel,2.7,1920,1080,1k-2k
155,158,HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,15.6,6,1.91,619,Windows,No,AMD,SSD,256GB,Intel,1.6,1920,1080,0-1k
156,159,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,4,1.74,629,Windows,Yes,Intel,SSD,256GB,Intel,2.4,1920,1080,0-1k
157,160,Asus,ZenBook Flip,2 in 1 Convertible,13.3,8,1.1,1315,Windows,Yes,Intel,SSD,256GB,Intel,1.6,1920,1080,1k-2k
158,161,Dell,Inspiron 5579,2 in 1 Convertible,15.6,8,1.56,1049,Windows,Yes,Intel,SSD,256GB,Intel,1.8,1920,1080,1k-2k
159,163,Toshiba,Satellite Pro,Notebook,15.6,4,2.1,447,Windows,No,Intel,HDD,500GB,Intel,2.2,1366,768,0-1k
160,164,Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,4,2.03,403,Windows,No,AMD,HDD,1TB,AMD,3.0,1366,768,0-1k
161,165,Acer,Aspire A517-51G,Notebook,17.3,4,3,805,Windows,No,Nvidia,SSD,256GB,Intel,1.6,1920,1080,0-1k
162,166,Dell,Inspiron 3576,Notebook,15.6,8,2.13,728,Windows,No,AMD,SSD,256GB,Intel,1.6,1920,1080,0-1k
163,167,Lenovo,Legion Y520-15IKBN,Gaming,15.6,16,2.5,1079,Windows,No,Nvidia,SSD,256GB,Intel,2.8,1920,1080,1k-2k
164,168,Acer,Aspire A315-31,Notebook,15.6,4,2.1,348,Windows,No,Intel,HDD,1TB,Intel,1.1,1366,768,0-1k
165,169,MSI,GE63VR 7RE,Gaming,15.6,16,2.4,1799,Windows,No,Nvidia,SSD,256GB,Intel,2.8,1920,1080,1k-2k
166,170,Acer,Aspire 3,Notebook,15.6,4,2.1,364,Windows,No,Intel,HDD,1TB,Intel,1.1,1366,768,0-1k
